city_name,state_name,country_name
Bamboo Flat,Andaman and Nicobar Islands,India
Nicobar,Andaman and Nicobar Islands,India
Port Blair,Andaman and Nicobar Islands,India
South Andaman,Andaman and Nicobar Islands,India
Addanki,Andhra Pradesh,India
Adoni,Andhra Pradesh,India
Akasahebpet,Andhra Pradesh,India
Akividu,Andhra Pradesh,India
Akkarampalle,Andhra Pradesh,India
Amalapuram,Andhra Pradesh,India
Amudalavalasa,Andhra Pradesh,India
Anakapalle,Andhra Pradesh,India
Anantapur,Andhra Pradesh,India
Atmakur,Andhra Pradesh,India
Attili,Andhra Pradesh,India
Avanigadda,Andhra Pradesh,India
Badvel,Andhra Pradesh,India
Banganapalle,Andhra Pradesh,India
Bapatla,Andhra Pradesh,India
Betamcherla,Andhra Pradesh,India
Bhattiprolu,Andhra Pradesh,India
Bhimavaram,Andhra Pradesh,India
Bhimunipatnam,Andhra Pradesh,India
Bobbili,Andhra Pradesh,India
Challapalle,Andhra Pradesh,India
Chemmumiahpet,Andhra Pradesh,India
Chilakalurupet,Andhra Pradesh,India
Chinnachowk,Andhra Pradesh,India
Chipurupalle,Andhra Pradesh,India
Chirala,Andhra Pradesh,India
Chittoor,Andhra Pradesh,India
Chodavaram,Andhra Pradesh,India
Cuddapah,Andhra Pradesh,India
Cumbum,Andhra Pradesh,India
Darsi,Andhra Pradesh,India
Dharmavaram,Andhra Pradesh,India
Dhone,Andhra Pradesh,India
Diguvametta,Andhra Pradesh,India
East Godavari,Andhra Pradesh,India
Elamanchili,Andhra Pradesh,India
Ellore,Andhra Pradesh,India
Emmiganur,Andhra Pradesh,India
Erraguntla,Andhra Pradesh,India
Etikoppaka,Andhra Pradesh,India
Gajuwaka,Andhra Pradesh,India
Ganguvada,Andhra Pradesh,India
Gannavaram,Andhra Pradesh,India
Giddalur,Andhra Pradesh,India
Gokavaram,Andhra Pradesh,India
Gorantla,Andhra Pradesh,India
GovindapuramChilakaluripetGuntur,Andhra Pradesh,India
Gudivada,Andhra Pradesh,India
Gudlavalleru,Andhra Pradesh,India
